7.6959,5.0619
6.5472,4.9061
7.0632,16.814
12.686,7.6909
15.625,17.315
6.5839,4.3703
6.3472,3.5838
10.069,8.4136
22.183,13.669
6.0777,2.7042
8.2289,1.4022
6.3294,-2.2862
10.329,9.5985
5.2188,5.3167
0.45946,9.2692
3.6717,-0.63361
6.8621,3.2449
8.6529,3.1007
9.8517,-1.8821
2.2121,2.0841
9.6171,-1.2928
6.2554,0.80043
6.4457,0.22596
14.238,17.611
7.1339,1.8688
20.691,18.448
10.949,13.147
3.5058,6.6392
3.3512,4.1409
21.842,22.527
5.1421,7.733
9.9776,1.5343
4.8305,10.151
5.4435,5.8005
10.135,7.3695
9.7877,2.0231
5.4316,18.741
5.9249,4.1201
17.417,7.1568
9.0575,3.9996
1.853,-0.78878
11.209,5.9442
7.0395,8.4122
9.1992,5.837
4.7302,-1.7224
2.7427,1.7601
5.8914,1.2994
6.3229,7.1042
13.119,-2.2425
8.0466,2.3698
5.0075,11.445
7.4965,1.4235
3.5987,0.67071
14.509,2.1081
10.319,10.999
6.1165,-0.93174
8.8692,0.50767
6.7831,2.4965
7.9179,6.1999
